"Word","IPA","POS","Category","Definition","Examples","Notes","Synonyms","Antonyms","SynonymDistinction"
"postulate","/ˈpɒstʃəleɪt/","v.","学术写作","义1. 假定；假设（作为推理或理论起点的命题，比 assume 更学术、更正式）","义1:
  • The theory postulates a direct link between diet and mood.
  • It is postulated that the universe has been expanding since the Big Bang.
  • We postulate a common ancestor for these two species.","后常接 that 从句；名词 postulate 指‘公设 / 假定’，哲学、数学、理科高频。","assume、hypothesize、presuppose","disprove、refute","assume 最日常、把握最弱；hypothesize 强调基于有限证据的科学推测；postulate 多用于理论体系的逻辑起点，语气最正式。"
"hypothesize","/haɪˈpɒθəsaɪz/","v.","学术写作","义1. 提出假说；推测（基于不完整证据，待检验）","义1:
  • Researchers hypothesize that sleep loss impairs memory consolidation.
  • It was hypothesized that the drug would reduce inflammation.
  • We hypothesize a causal relationship, not merely a correlation.","名词 hypothesis（假说）；形容词 hypothetical（假设的）。常与 test / confirm / reject 搭配。","postulate、speculate、surmise","confirm、verify","speculate 更偏‘猜测、泛泛推想’；hypothesize 是科研语境下‘可检验的假设’；postulate 比 hypothesize 更正式、更偏理论前提。"
"corroborate","/kəˈrɒbəreɪt/","v.","学术写作","义1. 佐证；证实（用独立证据支撑已有结论）","义1:
  • Subsequent experiments corroborated the initial findings.
  • Witness testimony corroborated the defendant's alibi.
  • The data corroborate our earlier claim about rising temperatures.","及物，宾语多为 finding / claim / theory；名词 corroboration，形容词 corroborating。","confirm、substantiate、verify","contradict、refute","confirm 泛指确认；substantiate 强调提供实质证据支撑主张；corroborate 特指‘另一来源的独立证据’与原有证据相互印证。"
"refute","/rɪˈfjuːt/","v.","学术写作","义1. 驳斥；推翻（用证据否定某观点）","义1:
  • These results refute the longstanding theory proposed by Smith (2010).
  • The author refutes the claim that technology reduces employment.
  • New fossils refute the idea that birds evolved later than mammals.","注意：refute = 用证据反驳（不是 merely deny）。名词 refutation。","rebut、disprove、contradict","support、corroborate","rebut 多用于辩论/法律当场反驳；disprove 强调证明为假；refute 强调以论证+证据系统性推翻。"
"elucidate","/iˈluːsɪdeɪt/","v.","学术写作","义1. 阐明；解释清楚（把复杂、晦涩的概念讲明白）","义1:
  • The diagram elucidates the mechanism underlying cell division.
  • Chapter 3 elucidates the difference between the two models.
  • She elucidated her position with several historical examples.","正式书面；名词 elucidation。比 explain 更学术。","clarify、explain、illuminate","obscure、confuse","clarify 侧重‘消除歧义’；illuminate 侧重‘照亮、使人领悟’；elucidate 侧重对复杂理论的细致剖析，最正式。"
"extrapolate","/ɪkˈstræpəleɪt/","v.","学术写作","义1. 外推；推断（由已知数据推测未知情况）","义1:
  • We can extrapolate from these trends to predict future demand.
  • Do not extrapolate findings from mice to humans too readily.
  • The chart lets us extrapolate the population in 2050.","常与 from / to 搭配；名词 extrapolation。注意外推有风险，论文中宜用谨慎语气。","infer、project、deduce","","infer 由证据推结论；project 多指‘预测’数值；extrapolate 特指沿已有趋势延伸到范围外。"
"underscore","/ˌʌndəˈskɔː(r)/","v.","学术写作","义1. 强调；突出（比 emphasize 更书面）","义1:
  • These findings underscore the importance of early intervention.
  • The crisis underscores how fragile global supply chains are.
  • His silence underscored his disagreement.","及物，宾语多为 importance / need / fact。亦可作名词 underscore（下划线）。","emphasize、highlight、stress","understate、minimize","highlight 像‘高亮’般凸显一点；stress 语气更重带‘施压’感；underscore 书面对重要性做低调而有力的强调。"
"substantiate","/səbˈstænʃieɪt/","v.","学术写作","义1. 证实；为（说法）提供实质证据","义1:
  • There is insufficient evidence to substantiate this claim.
  • He substantiated his argument with court records.
  • The allegations were never substantiated.","宾语多为 claim / allegation / charge；名词 substantiation。","corroborate、confirm、verify","disprove、refute","confirm 泛确认；corroborate 强调‘另一独立来源印证’；substantiate 强调给主张‘填充实质证据’，常用在指控/声明语境。"
"mitigate","/ˈmɪtɪɡeɪt/","v.","学术写作","义1. 减轻；缓和（负面影响的程度）","义1:
  • Policies were introduced to mitigate the impact of climate change.
  • Medicine can mitigate but not cure the symptoms.
  • Steps were taken to mitigate the risk of flooding.","宾语多为 impact / effect / risk / damage；名词 mitigation。勿与 militate（影响、起作用）混淆。","alleviate、lessen、diminish","exacerbate、aggravate","alleviate 多用于痛苦/负担；lessen 最通用；mitigate 书面、多用于风险/损害等负面事物。"
"exacerbate","/ɪɡˈzæsəbeɪt/","v.","学术写作","义1. 加剧；使恶化（负面情况）","义1:
  • Poor diet can exacerbate existing health conditions.
  • The policy exacerbated rather than solved inequality.
  • Stress exacerbates the symptoms of the disease.","宾语多为 problem / condition / tension；名词 exacerbation。与 aggravate 近义。","aggravate、worsen、intensify","mitigate、alleviate","worsen 最通用；aggravate 可指‘激怒人’；exacerbate 最正式，专指使负面局势更糟。"
